gene1,gene2
AATF,BAX
AATF,LDOC1
AATF,POLR2J
AATF,TSG101
ABL2,BTF3
ACAA1,PCCA
ACAA2,PCCA
ACADS,ECHS1
ACAT1,AACS
ACAT1,HMGCS2
ACTB,ACTR3C
ACTB,AHNAK
ACTB,ARHGAP10
ACTB,CTNNA1
ACTB,ITGA2
ACTB,ITGA6
ACTB,ITGA9
ACTB,MYO1B
ACTB,MYO5A
ACTB,NFYC
ACTB,STK3
ACTB,WAS
ACTB,WASF1
ACTG1,CTNNA1
ACTG1,EGR3
ACTG1,NR3C2
ACTG1,SMARCB1
ACTG1,STK3
ACTL6A,TRRAP
ACTL6B,EGR1
ACTL6B,NFYA
ADH1A,CYP26A1
ADH1A,GSTA1
ADH1A,GSTA2
ADH1A,GSTA3
ADH1A,GSTA4
ADH1A,GSTA5
ADH1A,GSTM1
ADH1A,GSTM2
ADH1A,GSTM3
ADH1A,GSTM4
ADH1A,GSTM5
ADH1A,GSTO1
ADH1A,GSTO2
ADH1A,GSTP1
ADH1A,GSTT1
ADH1A,GSTT2
ADH1A,GSTT2B
ADH1A,MGST1
ADH1A,MGST2
ADH1A,MGST3
ADH1C,NFYA
ADRA1A,FOSB
AGTR1,ETV4
AGTR1,SERPINE1
AGTR1,SND1
AGXT2,ABAT
AKT1,APC
AKT1,BCL2L1
AKT1,ESR1
AKT1,EZH2
AKT1,RPS6KB1
AKT1,SMAD2
AKT1,SMAD3
AKT1,TP53
AKT1,TSC1
AKT1,TSC2
AKT1,YBX1
AKT2,RPS6KB1
AKT3,BCL2L1
AKT3,C6
AKT3,C7
AKT3,C8A
AKT3,C8B
AKT3,C9
AKT3,CDKN1A
AKT3,HSP90AA1
AKT3,HSP90AB1
AKT3,PDPK1
AKT3,PIK3R1
AKT3,PPP2CB
AKT3,PPP2R1A
AKT3,PPP2R5A
AKT3,PTK2
AKT3,RHOB
AKT3,RPS6KB1
AKT3,THEM4
AKT3,TSC1
AKT3,TSC2
ALDH1B1,ACYP1
ALDH1B1,ADH1A
ALDH1B1,AOC1
ALDH2,ACYP1
ALDH2,ADH1A
ALDH2,ADH1B
ALDH2,ADH1C
ALDH2,ADH4
ALDH2,AKR1B10
ALDH2,AOC1
ALDH2,BBOX1
ALDH6A1,ABAT
ALDH6A1,NFYA
ALDH6A1,NFYC
ALDOB,FBP1
ALPL,EGR1
AMDHD1,E2F1
AMDHD1,UROC1
ANAPC11,PTTG1
ANAPC5,PTTG1
ANAPC7,PTTG1
ANKZF1,AURKB
ANKZF1,CA2
AOC1,INMT
APC,AXIN2
APC,BIRC5
APC,DNMT1
APC,EZH2
APC,POU2F1
APC,PTGS2
APC,PTPN13
APC2,AXIN2
APC2,EGR1
APOA1,EGR1
ARAF,HRAS
ARAF,KRAS
ARAF,NRAS
ARAF,PRKCD
ARAF,YWHAB
ARAF,YWHAG
ARAF,YWHAZ
ARF1,ATF5
ARF1,MDM4
ARF1,WBP11
ARID1A,SMARCA4
ARID1B,FOSB
ARID1B,SMARCA4
ARID1B,SMARCB1
ARID4B,SAP130
ARPC1A,EGR1
ASL,ADSL
ASS1,ADSS1
ASS1,ASL
ASS1,MYC
ATF2,AHCTF1
ATF2,ARID1B
ATF2,ARID2
ATF2,C1orf74
ATF2,CDHR2
ATF2,CDKL5
