gene1,gene2
ALDOB,FBP1
ALDH2,ADH1A
ALDH2,ADH1B
ALDH2,ADH1C
ALDH2,ADH4
ALDH2,BBOX1
ALDH2,AOC1
ALDH2,AKR1B10
ALDH2,ACYP1
ALDH1B1,ADH1A
ALDH1B1,AOC1
ALDH1B1,ACYP1
SDHB,NFE2L2
SDHB,NRF1
SDHB,SUCLG2
SDHD,SUCLG2
TKT,TALDO1
TKT,EGR3
TKT,RPIA
TALDO1,ZNF143
TALDO1,ZHX1
UGP2,PGM1
UGP2,GALE
UGP2,UGDH
UGT2B15,ADH1A
UGT2B15,UGDH
UGT2B15,ESR1
ACADS,ECHS1
EHHADH,ECHS1
EHHADH,ACAT1
EHHADH,IVD
ECHS1,ACADM
ECHS1,IVD
ACAT1,AACS
ACAT1,HMGCS2
ACAT1,NFYA
ADH1A,CYP26A1
ADH1A,GSTO2
ADH1A,GSTA5
ADH1A,GSTA1
ADH1A,GSTA2
ADH1A,GSTA3
ADH1A,GSTA4
ADH1A,GSTM1
ADH1A,GSTM2
ADH1A,GSTM3
ADH1A,GSTM4
ADH1A,GSTM5
ADH1A,GSTP1
ADH1A,GSTT1
ADH1A,GSTT2
ADH1A,MGST1
ADH1A,MGST2
ADH1A,MGST3
ADH1A,GSTT2B
ADH1A,GSTO1
ADH1C,NFYA
CYP8B1,TP53
CYP8B1,AKR1D1
ASS1,ADSS1
ASS1,ASL
ATIC,ADSS1
ADSS1,CAD
PNP,NMRK1
PNP,TP53
PNP,XDH
PNP,NNMT
PAPSS2,SUOX
PDE7B,ADSL
PDE7A,ETS2
PDE7A,ADSL
CYP1A2,NAT2
CYP1A2,CYP2C19
CYP1A2,CYP2J2
CYP1A2,CYP26A1
CYP1A2,GSTO2
NAT2,CYP2A6
NAT2,CYP2A7
CYP2A6,CYP2B6
CYP2A6,NFYA
CYP2A7,CYP26A1
DTYMK,TYMS
DTYMK,NFYA
DTYMK,TK1
TYMS,TP53
TYMS,ESR1
TYMS,YBX1
DUT,TK1
ASL,ADSL
GLUD2,NIT2
GLUD2,GLUL
GLS2,GLUL
FOLH1,ASPA
BHMT,DMGDH
PSPH,SHMT1
SHMT1,AGXT2
SHMT1,MTHFD1
SHMT1,SDS
SHMT1,AGXT
AGXT2,ABAT
MAT1A,DNMT1
ACAA2,PCCA
ACAA1,PCCA
PCCA,ALDH6A1
AOC1,INMT
SRM,SMS
SRM,NFYA
SRM,POU2F1
FTCD,AMDHD1
FTCD,MTHFD1
FTCD,MTHFD1L
AMDHD1,UROC1
ALDH6A1,ABAT
ALDH6A1,NFYC
MTR,CTH
SMS,EZH2
B4GALT3,ATF5
B4GALT3,EGR1
B4GALT3,ST3GAL3
UGDH,UXS1
UGDH,EGR2
UGDH,EGR3
UXS1,E2F5
UXS1,EGR1
LIPG,MGLL
MOGAT2,MGLL
PIP4K2B,TP53
