gene1,gene2
AATF,BAX
AATF,LDOC1
AATF,POLR2J
AATF,TSG101
ABL2,BTF3
ABL2,TCF3
ACAA1,PCCA
ACAA2,PCCA
ACADS,ECHS1
ACAT1,AACS
ACAT1,HMGCS2
ACAT1,NFYA
ACTB,ACTR3C
ACTB,AHNAK
ACTB,ARHGAP10
ACTB,CTNNA1
ACTB,ITGA2
ACTB,ITGA6
ACTB,ITGA9
ACTB,MYO1B
ACTB,MYO5A
ACTB,NFYC
ACTB,STK3
ACTB,WAS
ACTB,WASF1
ACTG1,CTNNA1
ACTG1,EGR1
ACTG1,NR3C2
ACTG1,SMARCB1
ACTG1,STK3
ACTL6A,TRRAP
ACTL6B,EGR1
ADH1A,CYP26A1
ADH1A,GSTA1
ADH1A,GSTA2
ADH1A,GSTA3
ADH1A,GSTA4
ADH1A,GSTA5
ADH1A,GSTM1
ADH1A,GSTM2
ADH1A,GSTM3
ADH1A,GSTM4
ADH1A,GSTM5
ADH1A,GSTO1
ADH1A,GSTO2
ADH1A,GSTP1
ADH1A,GSTT1
ADH1A,GSTT2
ADH1A,GSTT2B
ADH1A,MGST1
ADH1A,MGST2
ADH1A,MGST3
ADSS1,CAD
AGTR1,ETV4
AGTR1,POU2F1
AGTR1,SERPINE1
AGTR1,SND1
AGXT2,ABAT
AKT1,EZH2
AKT1,MDM4
AKT1,RPS6KB1
AKT2,RPS6KB1
AKT3,BAD
AKT3,C6
AKT3,C7
AKT3,C8A
AKT3,C8B
AKT3,C9
AKT3,CDKN1A
AKT3,HSP90AA1
AKT3,HSP90AB1
AKT3,PPP2R5A
AKT3,PTK2
AKT3,RHOB
AKT3,RPS6KB1
AKT3,THEM4
AKT3,TSC2
ALDH1B1,ACYP1
ALDH1B1,ADH1A
ALDH1B1,AOC1
ALDH2,ACYP1
ALDH2,ADH1A
ALDH2,ADH1B
ALDH2,ADH1C
ALDH2,ADH4
ALDH2,AKR1B10
ALDH2,AOC1
ALDH2,BBOX1
ALDH6A1,ABAT
ALDH6A1,NFYA
ALDOB,FBP1
AMDHD1,E2F2
AMDHD1,UROC1
ANAPC11,PTTG1
ANAPC5,FOS
ANAPC5,FOSB
ANAPC5,NFYA
ANAPC5,PTTG1
ANAPC7,PTTG1
ANKZF1,AURKB
ANKZF1,CA2
AOC1,INMT
APC,DNMT1
APC,EZH2
APC,F8
APC,MAPRE1
APC,PTPN13
APC2,AXIN2
ARAF,HRAS
ARAF,KRAS
ARAF,NRAS
ARAF,PRKCD
ARAF,YWHAB
ARAF,YWHAG
ARAF,YWHAZ
ARF1,MDM4
ARF1,NPM1
ARF1,WBP11
ARID1A,POU2F1
ARID1A,SMARCB1
ARID1B,FOSB
ARID1B,SMARCA2
ARID1B,SMARCB1
ARID1B,TCF3
ARID4B,SAP130
ASL,ADSL
ASS1,ADSS1
ASS1,ASL
ATF5,ACBD4
ATF5,ADK
ATF5,ADRA1B
ATF5,CDKL5
ATF5,CENPE
ATF5,CEP55
ATF5,CIRBP-AS1
ATF5,COPA
ATF5,DNAJC7
ATF5,DNAJC9
ATF5,ENOPH1
ATF5,FBXO4
ATF5,FGF13
ATF5,GGNBP2
ATF5,HHIP
ATF5,HNRNPA2B1
ATF5,HNRNPU
ATF5,IGF2BP2
ATF5,JDP2
ATF5,KAT7
